Attendee,Join Time,Leave Time,Date
Scott Coleman,11/9/2020 14:03,11/9/2020 19:03,11/9/2020
Scott Coleman,11/9/2020 13:59,11/9/2020 14:03,11/9/2020
Carmelo Rios,--,--,11/9/2020
Caylee Rivas,11/9/2020 13:59,11/9/2020 15:01,11/9/2020
Caylee Rivas,11/9/2020 16:31,11/9/2020 17:16,11/9/2020
Rex Wells,--,--,11/9/2020
Terrence Fernandez,11/9/2020 13:52,11/9/2020 18:39,11/9/2020
Lara Meadows,11/9/2020 13:52,11/9/2020 19:03,11/9/2020
Perla Zamora,11/9/2020 14:12,11/9/2020 15:57,11/9/2020
Kristin Dodson,11/9/2020 13:21,11/9/2020 19:03,11/9/2020
Anthony Mcmillan,11/9/2020 13:48,11/9/2020 16:02,11/9/2020
Anthony Mcmillan,11/9/2020 16:02,11/9/2020 19:03,11/9/2020
Yair Valenzuela,--,--,11/9/2020
Damion Mejia,--,--,11/9/2020
Savion Swanson,11/9/2020 13:21,11/9/2020 18:42,11/9/2020
Keyla Daugherty,11/9/2020 16:19,11/9/2020 17:17,11/9/2020
Finley Martinez,11/9/2020 13:56,11/9/2020 17:55,11/9/2020
Brennan Tyler,11/9/2020 13:34,11/9/2020 19:03,11/9/2020
Atticus Rodriguez,11/9/2020 13:48,11/9/2020 19:03,11/9/2020
Kristopher Ashley,11/9/2020 13:21,11/9/2020 18:30,11/9/2020
Kaylen Adams,11/9/2020 14:01,11/9/2020 15:31,11/9/2020
Kaylen Adams,11/9/2020 17:23,11/9/2020 19:03,11/9/2020
Kaylen Adams,11/9/2020 15:32,11/9/2020 17:09,11/9/2020
Cole Carey,11/9/2020 13:53,11/9/2020 16:35,11/9/2020
Lilia Blackwell,11/9/2020 13:53,11/9/2020 17:51,11/9/2020
Micah Reynolds,11/9/2020 14:06,11/9/2020 18:12,11/9/2020
Luciana Farmer,--,--,11/9/2020
Giovani Silva,--,--,11/9/2020
Trystan Rios,11/9/2020 13:46,11/9/2020 19:03,11/9/2020
Tyrese Fernandez,--,--,11/9/2020
Jett Spence,11/9/2020 14:03,11/9/2020 17:16,11/9/2020
Jett Spence,11/9/2020 14:00,11/9/2020 14:03,11/9/2020
Jaslyn Chapman,11/10/2020 13:59,11/10/2020 18:04,11/10/2020
Dalia Gentry,11/10/2020 14:02,11/10/2020 18:12,11/10/2020
Mark Cannon,--,--,11/10/2020
Braelyn Terrell,11/10/2020 14:03,11/10/2020 14:14,11/10/2020
Braelyn Terrell,11/10/2020 14:17,11/10/2020 14:19,11/10/2020
Braelyn Terrell,11/10/2020 14:14,11/10/2020 14:15,11/10/2020
Braelyn Terrell,11/10/2020 14:15,11/10/2020 14:17,11/10/2020
Braelyn Terrell,11/10/2020 14:19,11/10/2020 17:33,11/10/2020
Cooper Washington,--,--,11/10/2020
Kallie Weiss,11/10/2020 13:54,11/10/2020 18:12,11/10/2020
Kenley Humphrey,--,--,11/10/2020
Melvin Cochran,--,--,11/10/2020
Branson Rivas,11/10/2020 13:55,11/10/2020 18:12,11/10/2020
Dalia Cooper,11/10/2020 13:57,11/10/2020 18:04,11/10/2020
Walker Salazar,11/10/2020 13:43,11/10/2020 18:12,11/10/2020
Brayden Sosa,11/10/2020 13:54,11/10/2020 17:33,11/10/2020
Erin Wright,--,--,11/10/2020
Whitney Zhang,11/10/2020 16:13,11/10/2020 16:18,11/10/2020
Zion Oconnor,11/10/2020 14:10,11/10/2020 18:12,11/10/2020
Zion Oconnor,11/10/2020 13:41,11/10/2020 14:10,11/10/2020
Taniya Frey,11/10/2020 13:54,11/10/2020 18:04,11/10/2020
Kinley Olson,--,--,11/10/2020
Selah Moreno,11/10/2020 13:56,11/10/2020 15:46,11/10/2020
Selah Moreno,11/10/2020 16:58,11/10/2020 18:05,11/10/2020
Guillermo Cherry,11/10/2020 17:04,11/10/2020 17:06,11/10/2020
Guillermo Cherry,11/10/2020 15:36,11/10/2020 15:55,11/10/2020
Guillermo Cherry,11/10/2020 14:03,11/10/2020 14:51,11/10/2020
Makenna Hernandez,11/10/2020 14:01,11/10/2020 17:49,11/10/2020
Cruz Lin,--,--,11/10/2020
Travis Adkins,--,--,11/10/2020
Gracie Ali,--,--,11/10/2020
Fisher Casey,11/10/2020 17:08,11/10/2020 18:10,11/10/2020
Fisher Casey,11/10/2020 13:57,11/10/2020 16:57,11/10/2020
Jade Avila,11/10/2020 14:49,11/10/2020 18:08,11/10/2020
Dana Lindsey,--,--,11/10/2020
Adrien Garner,--,--,11/10/2020
Christopher Powell,--,--,11/10/2020
Keon Spencer,--,--,11/10/2020
Adrian Shah,11/10/2020 13:58,11/10/2020 18:05,11/10/2020
Nicolas Maddox,--,--,11/10/2020
Hadassah Lowery,--,--,11/10/2020
Jerimiah Miranda,--,--,11/10/2020
Jaida Vasquez,11/10/2020 15:19,11/10/2020 18:04,11/10/2020
Jaida Vasquez,11/10/2020 13:49,11/10/2020 15:15,11/10/2020
Chaim Brooks,11/10/2020 14:29,11/10/2020 18:04,11/10/2020
Princess Compton,--,--,11/10/2020
Hailee Butler,--,--,11/10/2020
Simeon Levine,--,--,11/10/2020
Jamison Garza,--,--,11/10/2020
Janiya Rocha,11/10/2020 14:58,11/10/2020 15:00,11/10/2020
Kaiya Cordova,11/10/2020 13:58,11/10/2020 14:41,11/10/2020
Frida Ritter,11/10/2020 14:46,11/10/2020 18:12,11/10/2020
Nina Brennan,--,--,11/10/2020
Taylor David,11/10/2020 13:58,11/10/2020 17:57,11/10/2020
Reyna Yang,11/10/2020 13:54,11/10/2020 18:04,11/10/2020
Erik Parrish,--,--,11/10/2020
Korbin Blankenship,--,--,11/10/2020
Jordin Schroeder,11/10/2020 13:55,11/10/2020 14:58,11/10/2020
Oliver Dean,11/10/2020 13:38,11/10/2020 18:03,11/10/2020
Felipe Ross,11/10/2020 13:39,11/10/2020 18:05,11/10/2020
Felipe Ross,11/10/2020 18:10,11/10/2020 18:10,11/10/2020
Leonard Colon,11/10/2020 13:42,11/10/2020 17:33,11/10/2020
Abigail Crane,11/10/2020 14:49,11/10/2020 18:07,11/10/2020
Abigail Crane,11/10/2020 14:36,11/10/2020 14:41,11/10/2020
Jesus Reynolds,11/10/2020 13:20,11/10/2020 18:06,11/10/2020
Bianca Estrada,11/10/2020 13:37,11/10/2020 17:50,11/10/2020
Bianca Estrada,11/10/2020 17:54,11/10/2020 18:12,11/10/2020
Zaiden Middleton,11/10/2020 15:31,11/10/2020 15:59,11/10/2020
Zaiden Middleton,11/10/2020 13:39,11/10/2020 13:48,11/10/2020
Zaiden Middleton,11/10/2020 16:28,11/10/2020 18:12,11/10/2020
Zaiden Middleton,11/10/2020 13:57,11/10/2020 15:15,11/10/2020
Zaiden Middleton,11/10/2020 13:31,11/10/2020 13:34,11/10/2020
Bailey Fuller,11/10/2020 13:32,11/10/2020 13:33,11/10/2020
Bailey Fuller,11/10/2020 15:28,11/10/2020 18:12,11/10/2020
Janae Hahn,11/10/2020 15:42,11/10/2020 16:15,11/10/2020
Janae Hahn,11/10/2020 17:33,11/10/2020 17:41,11/10/2020
Jamal Erickson,--,--,11/10/2020
Damion Key,11/10/2020 14:04,11/10/2020 14:35,11/10/2020
Jessie Raymond,11/10/2020 16:59,11/10/2020 18:07,11/10/2020
Ayaan Farmer,--,--,11/10/2020
Scarlett Potter,11/10/2020 14:11,11/10/2020 14:11,11/10/2020
Scarlett Potter,11/10/2020 17:17,11/10/2020 17:18,11/10/2020
Elizabeth Bullock,11/10/2020 14:00,11/10/2020 15:17,11/10/2020
Elizabeth Bullock,11/10/2020 16:16,11/10/2020 16:36,11/10/2020
Kolton Guzman,--,--,11/10/2020
Cristal Boyle,11/10/2020 13:32,11/10/2020 18:08,11/10/2020
Ruby Kent,11/10/2020 13:57,11/10/2020 17:07,11/10/2020
Aaron Conner,--,--,11/10/2020
Jolie Jensen,11/10/2020 13:49,11/10/2020 18:07,11/10/2020
Ashanti Landry,11/10/2020 14:01,11/10/2020 17:54,11/10/2020
Ashanti Landry,11/10/2020 17:54,11/10/2020 18:12,11/10/2020
Karson Price,11/10/2020 14:00,11/10/2020 18:12,11/10/2020
Regina Christian,11/10/2020 14:01,11/10/2020 14:50,11/10/2020
Alejandra Reed,11/10/2020 13:53,11/10/2020 18:04,11/10/2020
Deja Davidson,--,--,11/10/2020
Jazmin Gentry,--,--,11/10/2020
Brooke Figueroa,11/10/2020 14:03,11/10/2020 15:15,11/10/2020
Brooke Figueroa,11/10/2020 17:44,11/10/2020 18:03,11/10/2020
Brooke Figueroa,11/10/2020 15:49,11/10/2020 16:15,11/10/2020
Brooke Figueroa,11/10/2020 17:42,11/10/2020 17:42,11/10/2020
Brooke Figueroa,11/10/2020 16:28,11/10/2020 17:22,11/10/2020
Keagan Payne,11/10/2020 13:51,11/10/2020 18:12,11/10/2020
Evangeline Chen,11/10/2020 13:41,11/10/2020 18:06,11/10/2020
Nadia Ho,11/10/2020 14:27,11/10/2020 14:33,11/10/2020
Norah Reed,11/10/2020 14:07,11/10/2020 17:03,11/10/2020
Armani Andrews,11/10/2020 18:04,11/10/2020 18:05,11/10/2020
Maximus Ramirez,--,--,11/10/2020
Aaliyah Price,11/10/2020 13:52,11/10/2020 18:05,11/10/2020
Matteo Rangel,--,--,11/10/2020
Jaydan Gonzales,11/10/2020 14:08,11/10/2020 15:27,11/10/2020
Alexzander Harrison,11/10/2020 15:26,11/10/2020 16:14,11/10/2020
Alexzander Harrison,11/10/2020 13:55,11/10/2020 15:15,11/10/2020
Britney Harrington,--,--,11/10/2020
Teagan Garrison,11/10/2020 16:59,11/10/2020 17:29,11/10/2020
Teagan Garrison,11/10/2020 16:06,11/10/2020 16:14,11/10/2020
Teagan Garrison,11/10/2020 16:27,11/10/2020 16:36,11/10/2020
Tristen Rocha,11/10/2020 14:15,11/10/2020 18:08,11/10/2020
Shyla Kane,--,--,11/10/2020
Jasmin Zavala,11/10/2020 15:48,11/10/2020 16:14,11/10/2020
Kaiya Chung,11/10/2020 14:24,11/10/2020 18:12,11/10/2020
Noelle Weber,11/10/2020 13:55,11/10/2020 15:15,11/10/2020
Juliet Snyder,--,--,11/10/2020
Pierce Russell,11/10/2020 15:14,11/10/2020 16:07,11/10/2020
Pierce Russell,11/10/2020 14:05,11/10/2020 14:14,11/10/2020
Kianna Mosley,--,--,11/10/2020
Adolfo Boyle,11/10/2020 13:36,11/10/2020 18:05,11/10/2020
Aedan Fischer,11/10/2020 14:00,11/10/2020 17:01,11/10/2020
Aedan Fischer,11/10/2020 17:03,11/10/2020 18:04,11/10/2020
Maggie Franco,11/10/2020 13:55,11/10/2020 18:06,11/10/2020
Alisa Cline,11/10/2020 14:12,11/10/2020 15:59,11/10/2020
Dorian Frank,11/10/2020 14:08,11/10/2020 14:15,11/10/2020
Eduardo Olsen,--,--,11/10/2020
Kaydence Stark,--,--,11/10/2020
Johan Woods,11/10/2020 13:40,11/10/2020 18:07,11/10/2020
Aisha English,11/10/2020 13:59,11/10/2020 15:50,11/10/2020
Maximus Greer,11/10/2020 13:48,11/10/2020 18:04,11/10/2020
Brooks Long,11/10/2020 13:58,11/10/2020 18:12,11/10/2020
Gerardo Baldwin,11/10/2020 15:14,11/10/2020 16:11,11/10/2020
Gerardo Baldwin,11/10/2020 14:16,11/10/2020 14:57,11/10/2020
Israel Conrad,--,--,11/10/2020
Giancarlo Abbott,11/10/2020 14:09,11/10/2020 15:15,11/10/2020
Giancarlo Abbott,11/10/2020 15:16,11/10/2020 17:38,11/10/2020
Demarcus Boyd,11/10/2020 14:01,11/10/2020 15:14,11/10/2020
Lyric Clarke,11/10/2020 13:57,11/10/2020 18:04,11/10/2020
Ramiro Mcintyre,--,--,11/10/2020
Amirah Thornton,11/10/2020 14:06,11/10/2020 14:38,11/10/2020
Amirah Thornton,11/10/2020 15:08,11/10/2020 16:22,11/10/2020
Amirah Thornton,11/10/2020 18:01,11/10/2020 18:04,11/10/2020
Araceli Sampson,11/10/2020 14:20,11/10/2020 18:12,11/10/2020
Sarahi Watts,11/10/2020 14:36,11/10/2020 16:23,11/10/2020
Bridger Burton,11/10/2020 13:39,11/10/2020 18:12,11/10/2020
Cedric Reed,--,--,11/10/2020
Amina Washington,11/10/2020 13:45,11/10/2020 18:06,11/10/2020
Desirae Terry,11/10/2020 14:21,11/10/2020 15:16,11/10/2020
Heather Reilly,--,--,11/10/2020
Felix Monroe,--,--,11/10/2020
Aaden Webster,--,--,11/10/2020
Jair Benton,--,--,11/10/2020
Sonny Roth,11/10/2020 13:57,11/10/2020 18:07,11/10/2020
Jessie Lloyd,11/10/2020 14:05,11/10/2020 15:05,11/10/2020
Tori Liu,11/10/2020 14:10,11/10/2020 18:12,11/10/2020
Jaelyn Hines,--,--,11/10/2020
German Higgins,11/10/2020 14:03,11/10/2020 14:55,11/10/2020
Kyleigh Strong,--,--,11/10/2020
Ricardo Lin,11/10/2020 13:39,11/10/2020 18:06,11/10/2020
Angelina Michael,--,--,11/10/2020
Alaina Miller,--,--,11/10/2020
Yoselin Marshall,11/10/2020 13:54,11/10/2020 18:12,11/10/2020
Shelby Wyatt,--,--,11/10/2020
Alexis Cruz,11/10/2020 15:38,11/10/2020 18:04,11/10/2020
Alexis Cruz,11/10/2020 13:55,11/10/2020 15:38,11/10/2020
Emery Schmidt,11/10/2020 17:39,11/10/2020 18:05,11/10/2020
Emery Schmidt,11/10/2020 14:05,11/10/2020 14:32,11/10/2020
Emery Schmidt,11/10/2020 14:32,11/10/2020 14:44,11/10/2020
Kane Hatfield,11/10/2020 13:32,11/10/2020 18:12,11/10/2020
Alannah Wright,11/10/2020 13:57,11/10/2020 16:15,11/10/2020
Alannah Wright,11/10/2020 17:34,11/10/2020 18:12,11/10/2020
Zaid Clark,11/10/2020 15:32,11/10/2020 18:04,11/10/2020
Zaid Clark,11/10/2020 13:45,11/10/2020 14:00,11/10/2020
Zaid Clark,11/10/2020 14:01,11/10/2020 15:32,11/10/2020
Melvin Vaughn,11/10/2020 14:00,11/10/2020 15:32,11/10/2020
Melvin Vaughn,11/10/2020 16:34,11/10/2020 18:04,11/10/2020
Meghan Ford,11/10/2020 13:55,11/10/2020 18:05,11/10/2020
Leslie Fisher,11/10/2020 14:02,11/10/2020 18:05,11/10/2020
Dayana Mcpherson,11/10/2020 14:34,11/10/2020 18:04,11/10/2020
Colton Knapp,11/10/2020 14:04,11/10/2020 16:29,11/10/2020
Colton Knapp,11/10/2020 16:30,11/10/2020 16:58,11/10/2020
Braiden Nelson,11/10/2020 15:42,11/10/2020 16:26,11/10/2020
Braiden Nelson,11/10/2020 17:05,11/10/2020 18:02,11/10/2020
Amani Spencer,11/10/2020 13:42,11/10/2020 18:12,11/10/2020
Jamar Hanna,--,--,11/10/2020
Kayden Hancock,11/10/2020 13:30,11/10/2020 18:11,11/10/2020
Finley Graham,11/10/2020 13:42,11/10/2020 18:04,11/10/2020
Kane Mack,11/10/2020 13:53,11/10/2020 18:07,11/10/2020
Jovanni Matthews,--,--,11/10/2020
Agustin Hogan,11/10/2020 14:38,11/10/2020 16:31,11/10/2020
Dennis Stout,--,--,11/10/2020
Trent Tate,--,--,11/10/2020
Zoe Bright,--,--,11/10/2020
Brielle Davila,11/10/2020 13:55,11/10/2020 18:07,11/10/2020
Jasmine Stafford,11/10/2020 13:58,11/10/2020 14:06,11/10/2020
Jaylee Huber,11/10/2020 17:42,11/10/2020 18:05,11/10/2020
Jaylee Huber,11/10/2020 15:18,11/10/2020 16:14,11/10/2020
Koen Kane,--,--,11/10/2020
Dayana Fitzgerald,11/10/2020 13:54,11/10/2020 18:04,11/10/2020
Jaidyn Choi,--,--,11/10/2020
Kane Haley,--,--,11/10/2020
Tiffany Shields,11/10/2020 13:38,11/10/2020 18:09,11/10/2020
Jadon Mcbride,--,--,11/10/2020
Sean Blackburn,--,--,11/10/2020
Deshawn Mitchell,11/10/2020 14:31,11/10/2020 14:42,11/10/2020
Preston Robertson,11/10/2020 14:01,11/10/2020 17:20,11/10/2020
Milo Crawford,11/10/2020 14:15,11/10/2020 16:14,11/10/2020
Alannah Oliver,11/10/2020 13:20,11/10/2020 15:02,11/10/2020
Marlene Lin,--,--,11/10/2020
German Leonard,11/10/2020 13:26,11/10/2020 15:17,11/10/2020
German Leonard,11/10/2020 16:19,11/10/2020 18:08,11/10/2020
Leland Rasmussen,11/10/2020 13:52,11/10/2020 18:05,11/10/2020
Judith Phelps,11/10/2020 17:14,11/10/2020 18:04,11/10/2020
Judith Phelps,11/10/2020 14:12,11/10/2020 16:15,11/10/2020
Charlie Benjamin,--,--,11/10/2020
William Chen,--,--,11/10/2020
Matthias Prince,11/10/2020 13:25,11/10/2020 18:08,11/10/2020
Dylan Brown,11/10/2020 13:47,11/10/2020 15:19,11/10/2020
Dylan Brown,11/10/2020 15:28,11/10/2020 15:44,11/10/2020
Sam Robles,11/10/2020 13:54,11/10/2020 17:34,11/10/2020
Sam Robles,11/10/2020 17:34,11/10/2020 17:35,11/10/2020
Freddy Gilbert,11/10/2020 13:31,11/10/2020 13:43,11/10/2020
Freddy Gilbert,11/10/2020 13:43,11/10/2020 16:15,11/10/2020
Freddy Gilbert,11/10/2020 17:33,11/10/2020 18:12,11/10/2020
Rishi Norris,11/10/2020 13:55,11/10/2020 14:32,11/10/2020
Rishi Norris,11/10/2020 14:32,11/10/2020 18:04,11/10/2020
Adison Lucas,11/10/2020 16:32,11/10/2020 17:32,11/10/2020
Adison Lucas,11/10/2020 13:58,11/10/2020 15:25,11/10/2020
Adison Lucas,11/10/2020 17:47,11/10/2020 18:04,11/10/2020
Jayla Schmidt,11/10/2020 14:16,11/10/2020 15:16,11/10/2020
Laci Best,11/10/2020 14:01,11/10/2020 18:09,11/10/2020
Efrain Jordan,11/10/2020 13:52,11/10/2020 14:25,11/10/2020
Jane Watson,--,--,11/10/2020
Aubrey Sandoval,--,--,11/10/2020
Ibrahim Norton,11/10/2020 13:21,11/10/2020 18:12,11/10/2020
Lily Everett,11/10/2020 13:52,11/10/2020 16:57,11/10/2020
Sariah Dorsey,--,--,11/10/2020
Titus Williamson,--,--,11/10/2020
Gilberto Wilson,--,--,11/10/2020
Rose Wheeler,11/10/2020 13:58,11/10/2020 17:32,11/10/2020
Aditya Tyler,11/10/2020 13:58,11/10/2020 14:34,11/10/2020
Aditya Tyler,11/10/2020 14:54,11/10/2020 18:06,11/10/2020
Dominick Ortega,11/10/2020 13:59,11/10/2020 14:25,11/10/2020
Makenzie Sullivan,11/10/2020 16:19,11/10/2020 16:20,11/10/2020
Makenzie Sullivan,11/10/2020 14:01,11/10/2020 14:32,11/10/2020
Makenzie Sullivan,11/10/2020 14:32,11/10/2020 15:15,11/10/2020
Makenzie Sullivan,11/10/2020 15:25,11/10/2020 16:14,11/10/2020
Makenzie Sullivan,11/10/2020 16:27,11/10/2020 16:51,11/10/2020
Parker Mendez,11/10/2020 13:35,11/10/2020 18:04,11/10/2020
Yadiel Mata,--,--,11/10/2020
Joseph Navarro,11/10/2020 13:56,11/10/2020 18:03,11/10/2020
Mattie Logan,--,--,11/10/2020
Dawson Webster,11/10/2020 14:00,11/10/2020 15:19,11/10/2020
Larry Grimes,11/10/2020 17:07,11/10/2020 18:04,11/10/2020
Larry Grimes,11/10/2020 14:00,11/10/2020 16:24,11/10/2020
Alice Duarte,11/10/2020 14:00,11/10/2020 17:31,11/10/2020
Claire Monroe,--,--,11/10/2020
Katherine Guzman,11/10/2020 13:57,11/10/2020 14:21,11/10/2020
Katherine Guzman,11/10/2020 14:22,11/10/2020 15:58,11/10/2020
Kathryn Stafford,11/10/2020 15:25,11/10/2020 17:32,11/10/2020
Kathryn Stafford,11/10/2020 13:56,11/10/2020 15:15,11/10/2020
Mira Riddle,11/10/2020 15:40,11/10/2020 18:12,11/10/2020
Mira Riddle,11/10/2020 14:03,11/10/2020 15:36,11/10/2020
Toby Johns,--,--,11/10/2020
Gustavo Parker,11/10/2020 13:54,11/10/2020 15:04,11/10/2020
Abbigail Mcneil,11/10/2020 14:08,11/10/2020 16:04,11/10/2020
Corinne Lester,11/10/2020 14:02,11/10/2020 14:38,11/10/2020
Jordan Lambert,--,--,11/10/2020
Martha Valentine,11/10/2020 13:59,11/10/2020 15:15,11/10/2020
Martha Valentine,11/10/2020 16:02,11/10/2020 17:08,11/10/2020
Randy Mckay,11/10/2020 14:47,11/10/2020 16:20,11/10/2020
Ireland Barajas,--,--,11/10/2020
Tanner Cross,11/10/2020 15:47,11/10/2020 18:12,11/10/2020
Derick Cannon,--,--,11/10/2020
Hallie Kaiser,--,--,11/10/2020
Zaniyah Park,--,--,11/10/2020
Dwayne Logan,11/10/2020 14:00,11/10/2020 15:26,11/10/2020
Christina Kline,--,--,11/10/2020
Hayden Hull,11/10/2020 16:04,11/10/2020 16:13,11/10/2020
Hayden Hull,11/10/2020 17:20,11/10/2020 18:12,11/10/2020
Hayden Hull,11/10/2020 13:59,11/10/2020 15:03,11/10/2020
Haleigh Stephenson,--,--,11/10/2020
Ellie Mcmahon,11/10/2020 16:52,11/10/2020 18:01,11/10/2020
Ellie Mcmahon,11/10/2020 14:31,11/10/2020 15:14,11/10/2020
Jakayla Hines,--,--,11/10/2020
Atticus Wheeler,--,--,11/10/2020
Makayla Yang,11/10/2020 13:59,11/10/2020 17:39,11/10/2020
Jamarcus Hart,--,--,11/10/2020
Alannah Baird,11/10/2020 14:26,11/10/2020 18:12,11/10/2020
Camila Blevins,11/10/2020 13:40,11/10/2020 13:46,11/10/2020
Camila Blevins,11/10/2020 13:46,11/10/2020 18:05,11/10/2020
Elisha Hicks,--,--,11/10/2020
Kayleigh Rodgers,11/10/2020 17:14,11/10/2020 18:12,11/10/2020
Kayleigh Rodgers,11/10/2020 14:05,11/10/2020 14:53,11/10/2020
Kayleigh Rodgers,11/10/2020 15:36,11/10/2020 16:44,11/10/2020
Kayleigh Rodgers,11/10/2020 15:03,11/10/2020 15:28,11/10/2020
Jamiya Davila,11/10/2020 14:25,11/10/2020 16:15,11/10/2020
Ahmed Jensen,--,--,11/10/2020
Carsen Ramirez,--,--,11/10/2020
Jadiel Duncan,11/10/2020 14:01,11/10/2020 18:09,11/10/2020
Hassan Howard,11/10/2020 14:00,11/10/2020 17:34,11/10/2020
Veronica Lang,11/10/2020 13:58,11/10/2020 18:05,11/10/2020
Alex Shah,11/10/2020 13:56,11/10/2020 16:46,11/10/2020
Cordell Turner,11/10/2020 13:51,11/10/2020 15:55,11/10/2020
Josephine Williamson,11/10/2020 14:29,11/10/2020 18:09,11/10/2020
Valeria Moyer,11/10/2020 14:00,11/10/2020 18:12,11/10/2020
Marcus Roth,11/10/2020 13:53,11/10/2020 16:45,11/10/2020
Jordyn Burke,11/10/2020 13:46,11/10/2020 13:51,11/10/2020
Jordyn Burke,11/10/2020 13:51,11/10/2020 14:51,11/10/2020
Milagros May,11/10/2020 15:46,11/10/2020 18:12,11/10/2020
Jayden Schroeder,--,--,11/10/2020
Giancarlo Mckee,11/10/2020 13:37,11/10/2020 18:06,11/10/2020
Tripp Farrell,--,--,11/10/2020
Mila Patel,11/10/2020 13:57,11/10/2020 16:26,11/10/2020
Mila Patel,11/10/2020 17:53,11/10/2020 18:12,11/10/2020
Malia Mayer,11/10/2020 14:05,11/10/2020 18:12,11/10/2020
German Washington,11/10/2020 13:44,11/10/2020 16:20,11/10/2020
Aliza Ramos,--,--,11/10/2020
Stanley Moreno,11/10/2020 13:46,11/10/2020 18:04,11/10/2020
Elizabeth Mccarty,11/10/2020 14:03,11/10/2020 17:34,11/10/2020
Celia Nichols,11/10/2020 14:06,11/10/2020 18:11,11/10/2020
Clare Hicks,11/10/2020 13:38,11/10/2020 18:04,11/10/2020
Belinda Duncan,--,--,11/10/2020
Lincoln Hernandez,--,--,11/10/2020
Amani Hodge,11/10/2020 13:59,11/10/2020 14:02,11/10/2020
Amani Hodge,11/10/2020 14:02,11/10/2020 18:12,11/10/2020
Livia Fritz,--,--,11/10/2020
Braylon Charles,11/10/2020 13:53,11/10/2020 18:04,11/10/2020
Sharon Stephenson,11/10/2020 13:53,11/10/2020 17:08,11/10/2020
Garrett Gibson,11/10/2020 13:57,11/10/2020 17:33,11/10/2020
Cecelia Villegas,11/10/2020 14:09,11/10/2020 17:18,11/10/2020
Jaliyah Andrade,--,--,11/10/2020
Gunnar Blanchard,11/10/2020 13:59,11/10/2020 18:04,11/10/2020
Izaiah Estrada,--,--,11/10/2020
Armando Glass,--,--,11/10/2020
Shayna Long,--,--,11/10/2020
Destinee Blair,11/10/2020 14:02,11/10/2020 16:12,11/10/2020
Emelia Cantrell,11/10/2020 13:31,11/10/2020 18:04,11/10/2020
Marlon Buchanan,--,--,11/10/2020
Scott Coleman,11/10/2020 14:01,11/10/2020 18:05,11/10/2020
Scott Coleman,11/10/2020 13:53,11/10/2020 14:00,11/10/2020
Carmelo Rios,--,--,11/10/2020
Caylee Rivas,11/10/2020 13:55,11/10/2020 15:15,11/10/2020
Rex Wells,--,--,11/10/2020
Terrence Fernandez,11/10/2020 13:58,11/10/2020 18:12,11/10/2020
Lara Meadows,11/10/2020 13:52,11/10/2020 13:55,11/10/2020
Lara Meadows,11/10/2020 14:03,11/10/2020 18:05,11/10/2020
Perla Zamora,--,--,11/10/2020
Katelyn Burns,--,--,11/10/2020
Kristin Dodson,11/10/2020 15:46,11/10/2020 15:48,11/10/2020
Anthony Mcmillan,11/10/2020 13:52,11/10/2020 18:12,11/10/2020
Yair Valenzuela,--,--,11/10/2020
Damion Mejia,--,--,11/10/2020
Savion Swanson,11/10/2020 13:49,11/10/2020 18:06,11/10/2020
Keyla Daugherty,--,--,11/10/2020
Finley Martinez,11/10/2020 14:06,11/10/2020 16:20,11/10/2020
Finley Martinez,11/10/2020 16:23,11/10/2020 18:07,11/10/2020
Brennan Tyler,11/10/2020 13:40,11/10/2020 13:42,11/10/2020
Brennan Tyler,11/10/2020 13:44,11/10/2020 18:07,11/10/2020
Atticus Rodriguez,11/10/2020 13:45,11/10/2020 18:12,11/10/2020
Kristopher Ashley,11/10/2020 13:47,11/10/2020 18:04,11/10/2020
Kaylen Adams,11/10/2020 16:41,11/10/2020 18:04,11/10/2020
Kaylen Adams,11/10/2020 13:59,11/10/2020 14:51,11/10/2020
Cole Carey,11/10/2020 13:59,11/10/2020 17:19,11/10/2020
Lilia Blackwell,11/10/2020 13:48,11/10/2020 17:35,11/10/2020
Micah Reynolds,11/10/2020 16:26,11/10/2020 18:12,11/10/2020
Luciana Farmer,--,--,11/10/2020
Giovani Silva,--,--,11/10/2020
Trystan Rios,11/10/2020 13:43,11/10/2020 18:04,11/10/2020
Tyrese Fernandez,--,--,11/10/2020
Jett Spence,11/10/2020 14:00,11/10/2020 15:32,11/10/2020
Dominick Ramsey,11/8/2021 13:57,11/8/2021 14:03,11/8/2021
Dominick Ramsey,11/8/2021 14:04,11/8/2021 16:39,11/8/2021
Aditya Wiggins,--,--,11/8/2021
Pierce Reid,11/8/2021 13:53,11/8/2021 18:45,11/8/2021
Kadin Gentry,11/8/2021 13:54,11/8/2021 15:18,11/8/2021
Caylee Rivas,11/8/2021 13:58,11/8/2021 15:17,11/8/2021
Vivian Sparks,11/8/2021 13:57,11/8/2021 17:05,11/8/2021
Lorenzo Werner,11/8/2021 13:52,11/8/2021 18:13,11/8/2021
Lorenzo Werner,11/8/2021 18:13,11/8/2021 18:53,11/8/2021
Callum Foley,--,--,11/8/2021
Jolie Jensen,11/8/2021 13:54,11/8/2021 18:53,11/8/2021
Finn Holt,11/8/2021 13:57,11/8/2021 18:08,11/8/2021
Dayami Howard,11/8/2021 16:23,11/8/2021 16:25,11/8/2021
Savion Swanson,11/8/2021 13:46,11/8/2021 18:46,11/8/2021
